pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
38154,XX,nse_fo,OPTIDX,NIFTY,NIFTY26JUN29000CE,CE,NIFTY30JUN2629000.00CE,,26000,,,,,,5,75,1467297000,-1,2,2900000.0,NSE,OPTIDX,1467297000,1369872000,1467297000,1369872000,0,0,0,0,0,,0,0,1450889677,,,,,,,,,,FO,,,,,,,1467297000.0,1467297000.0,,,,17855.0,Cash,,0,1,1801.0,75,182475.0,101810.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
62006,XX,nse_fo,OPTIDX,NIFTY,NIFTY29DEC33000CE,CE,NIFTY24DEC2933000.00CE,,26000,,,,,,5,75,1577284200,-1,2,3300000.0,NSE,OPTIDX,1577284200,1419724800,1577284200,1419724800,0,0,0,0,0,,0,0,1450889677,,,,,,,,,,FO,,,,,,,1577284200.0,1577284200.0,,,,303400.0,Cash,,1,1,1801.0,75,0.0,600610.0,6190.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
47694,XX,nse_fo,OPTIDX,NIFTY,NIFTY2612026800PE,PE,NIFTY20JAN2626800.00PE,,26000,,,,,,5,65,1453386600,-1,2,2680000.0,NSE,OPTIDX,1453386600,1450396800,1453386600,1450396800,0,0,0,0,0,,0,0,1450889676,,,,,,,,,,FO,,,,,,,1453334400.0,1453386600.0,,,,71590.0,Cash,,0,1,1801.0,65,0.0,110705.0,32475.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
50971,XX,nse_fo,OPTIDX,NIFTY,NIFTY25DEC27000CE,CE,NIFTY30DEC2527000.00CE,,26000,,,,,,5,75,1451572200,-1,2,2700000.0,NSE,OPTIDX,1451572200,1342828800,1451572200,1342828800,0,0,0,0,0,,0,0,1450889676,,,,,,,,,,FO,,,,,,,1451572200.0,1451572200.0,,,,390.0,Cash,,0,1,1801.0,75,9038920.0,4840.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
64367,XX,nse_fo,OPTIDX,NIFTY,NIFTY26FEB23300PE,PE,NIFTY24FEB2623300.00PE,,26000,,,,,,5,65,1456410600,-1,2,2330000.0,NSE,OPTIDX,1456410600,1448582400,1456410600,1448582400,0,0,0,0,0,,0,0,1450889677,,,,,,,,,,FO,,,,,,,1456358400.0,1456410600.0,,,,810.0,Cash,,1,1,1801.0,65,0.0,2810.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
43484,XX,nse_fo,OPTIDX,NIFTY,NIFTY25DEC30650PE,PE,NIFTY30DEC2530650.00PE,,26000,,,,,,5,75,1451572200,-1,2,3065000.0,NSE,OPTIDX,1451572200,1445126400,1451572200,1445126400,0,0,0,0,0,,0,0,1450889676,,,,,,,,,,FO,,,,,,,1451520000.0,1451572200.0,,,,443810.0,Cash,,1,1,1801.0,75,0.0,501555.0,386065.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
59172,XX,nse_fo,OPTIDX,NIFTY,NIFTY26JAN29900CE,CE,NIFTY27JAN2629900.00CE,,26000,,,,,,5,65,1453991400,-1,2,2990000.0,NSE,OPTIDX,1453991400,1446163200,1453991400,1446163200,0,0,0,0,0,,0,0,1450889677,,,,,,,,,,FO,,,,,,,1453939200.0,1453991400.0,,,,75.0,Cash,,1,1,1801.0,65,0.0,2075.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
60939,XX,nse_fo,OPTIDX,NIFTY,NIFTY30JUN30000PE,PE,NIFTY25JUN3030000.00PE,,26000,,,,,,5,75,1593095400,-1,2,3000000.0,NSE,OPTIDX,1593095400,1435449600,1593095400,1435449600,0,0,0,0,0,,0,0,1450889677,,,,,,,,,,FO,,,,,,,1593043200.0,1593095400.0,,,,154930.0,Cash,,0,1,1801.0,75,0.0,400610.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
35154,XX,nse_fo,OPTIDX,NIFTY,NIFTY26FEB31400CE,CE,NIFTY24FEB2631400.00CE,,26000,,,,,,5,65,1456410600,-1,2,3140000.0,NSE,OPTIDX,1456410600,1448668800,1456410600,1448668800,0,0,0,0,0,,0,0,1450889677,,,,,,,,,,FO,,,,,,,1456358400.0,1456410600.0,,,,90.0,Cash,,1,1,1801.0,65,0.0,2090.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
65882,XX,nse_fo,OPTIDX,NIFTY,NIFTY26SEP15000PE,PE,NIFTY29SEP2615000.00PE,,26000,,,,,,5,75,1475159400,-1,2,1500000.0,NSE,OPTIDX,1475159400,1443744000,1475159400,1443744000,0,0,0,0,0,,0,0,1450888501,,,,,,,,,,FO,,,,,,,1475107200.0,1475159400.0,,,,5.0,Cash,,1,1,1801.0,75,0.0,2005.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
71539,XX,nse_fo,OPTIDX,NIFTY,NIFTY27JUN14000PE,PE,NIFTY29JUN2714000.00PE,,26000,,,,,,5,75,1498746600,-1,2,1400000.0,NSE,OPTIDX,1498746600,1341100800,1498746600,1341100800,0,0,0,0,0,,0,0,1450888502,,,,,,,,,,FO,,,,,,,1498746600.0,1498746600.0,,,,5.0,Cash,,1,1,1801.0,75,0.0,2005.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
56977,XX,nse_fo,OPTIDX,NIFTY,NIFTY25D2325600PE,PE,NIFTY23DEC2525600.00PE,,26000,,,,,,5,75,1450967400,-1,2,2560000.0,NSE,OPTIDX,1450967400,1447977600,1450967400,1447977600,0,0,0,0,0,,0,0,1450889676,,,,,,,,,,FO,,,,,,,1450915200.0,1450967400.0,,,,10.0,Cash,,0,1,1801.0,75,6445350.0,2295.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
